Id,SalePrice
2658,147541.7652476351
2718,172716.62997864207
2414,228746.14742558968
1989,112723.01521307751
625,178390.06309670792
333,80024.2640325653
1327,90764.602644842
858,129695.02307468266
95,184494.60885147628
1568,163921.13709184807
2482,162600.83098301222
1364,124101.81714106831
2584,159665.94410039598
818,312296.8645425978
2673,158532.788047305
2089,144717.49888734877
1297,160250.85418522946
790,120052.10405514414
2616,194163.05041511
720,188148.64618048852
222,152643.28966877237
557,133778.47653896204
1148,196061.8095245482
2766,182499.19214019607
534,180324.08932737898
1452,112563.39534460637
630,144746.42191822577
2648,133755.77515831325
125,171312.9604954436
1904,50449.03125026141
1670,95683.58713262757
756,87114.4639141584
717,227420.92520598316
1032,150587.6600844342
852,210726.35499331323
1731,190050.7626307987
2639,116906.48180978795
2071,94641.99274953472
1267,123632.3020853381
1851,188070.82394258314
567,164486.4420945296
2439,211489.75127908032
1898,151125.5591250617
647,166887.78967188377
2256,227969.22729173044
979,95260.75372869306
1444,227402.78718500465
2485,118684.54890136
157,123565.41277065332
88,123884.89984134692
2003,102344.8661527425
186,196794.03010936975
1425,248139.0304922333
2695,121236.04695766042
738,103157.01665403352
395,156772.4750413979
1353,167027.57680899918
1878,149196.10661535585
390,173175.15812680553
1456,239537.19049301458
1103,298306.02863175655
1387,134743.49922112492
2070,156245.78074240126
1199,169109.3252682562
2479,174361.17369656486
501,303164.5042050606
2362,84299.84412163068
1718,212941.95230049445
2188,73948.90518232396
1483,173228.2871567843
2557,94701.04828885065
437,343642.4202104851
2224,196843.58511815855
1628,183503.47574847043
397,126084.21132214516
587,200166.91012872232
2182,525238.6337236243
971,158316.7485628166
2611,143194.3684922755
1887,95476.75352401627
2399,372986.6308395143
2148,202833.16335965478
304,132769.72384411457
1997,127112.68860257932
2817,125080.35852161217
1431,216202.48647164615
427,349117.03525714925
263,121978.1232868371
598,185495.35813740882
2895,235143.13349174242
687,146458.81999899316
1822,128703.39815541643
2191,107769.05540187254
179,126495.16310067651
1009,235452.78219264065
2010,123203.31170956496
1991,134311.54929119977
1411,160114.72913829025
1721,243722.54555369902
1144,195510.60431287132
593,220185.2315014035
575,304446.24080330547
1249,180113.55332495613
1604,123211.8030522662
1064,438759.59496397024
1923,161397.58477404868
1988,93517.29461756788
2325,173529.7064308397
114,196965.32203872444
2700,173429.30332346275
217,144511.5178977173
343,191508.3037986575
386,222253.01673660427
2005,118219.757598458
2908,126318.38174281835
1814,240288.7519625082
2446,447578.0469963371
208,138775.57032297575
1679,113404.80197837504
822,347880.0112684044
6,199766.41770220047
1781,389632.19893573684
2397,309592.5328529019
2340,315613.5990994237
1618,168196.16890660953
2843,129602.27492666847
1061,358799.63420368935
2786,121139.54586008289
1935,129070.20645233832
1341,130610.04167558189
521,258890.0395532581
2136,135585.2546005885
996,214836.14089721054
227,153341.0338118683
135,186750.35559659597
1167,165467.4552012517
294,219503.4866452382
1776,197878.4654557065
540,179484.77018450943
1717,220410.8700791523
2303,116434.41604015726
116,186370.30197349365
127,145117.3422943609
1371,131233.18459531188
1014,181272.59855358984
1507,107635.88197502645
702,142590.69722443994
750,148981.5640846133
261,144287.62101266667
1559,84265.46131442624
577,196463.08920361847
2812,200052.12606638603
2080,156028.25056431055
1368,113484.00571064383
2376,125860.41139935664
659,114647.60579265597
1235,124313.32652059617
332,76798.42658159396
1917,137143.65666796843
2094,263086.4212487498
1460,251618.31141484831
1471,217998.71867332314
1509,120611.7828733508
1922,122818.02123296104
433,443059.2917630954
460,304292.12154092453
1116,242902.3990979409
1137,171870.40624579063
53,181206.32674826676
2354,253645.09863874098
1475,196090.30018751958
1761,459265.067989079
842,138780.99927751452
2739,188268.89399875578
2509,160154.3150330378
1007,207424.9794799805
2610,177078.93127693742
1952,106200.7845330172
2719,170533.1610600677
2921,77433.97467782204
1966,137330.60971851248
292,137606.50458894277
1204,200519.6262212828
1829,252086.7577240861
2419,200119.0690784006
391,155702.0155486555
798,115760.73365767945
481,213998.93496209465
193,185562.50603037796
555,127902.61762287632
899,83538.88794818238
2357,182588.99085085935
328,135664.29096824798
1356,134943.5809007531
1154,101570.38414197013
1730,193459.94937992154
2249,159465.47123422252
1119,283462.1554056792
2856,140624.77378722903
1394,130762.28867252404
2587,115945.10947812955
61,300795.56623673154
2661,186301.53091063592
2711,127639.50073642144
1147,186566.40122228398
757,128952.07575145196
2623,88162.25003749467
2378,149027.00841200695
1413,139246.59211157577
1722,234732.46846332456
1112,224108.10039375076
1623,197156.5081623202
1201,195713.19475272502
1513,106870.84993229025
957,328538.1530801606
1171,269738.35251689446
1145,197250.23323574546
2726,210106.16188124855
703,154714.19810992258
760,82939.64451903828
1964,143096.78406439262
2512,190527.23517741275
159,159501.03103720988
1281,181723.69486427496
468,192223.87651560488
290,129658.41830460116
665,93036.74112603444
1463,250625.2383369177
1792,217232.18892678246
923,145145.19437640865
